,"ය
ක
ක්
ි
රස
දි",,,"ව
ා
ය
ඛ්‍
ාං
ස
.
ේ
ල
.
ා
ප්‍ර",,,"ව
ා
ද
ප
ආ",,,"ව
ා
ය
ඛ්‍
ාං
ස
න
ා
ථ
රස
ත
ක්‍ෂි
ර
ආ",,,"ව
ා
ය
ඛ්‍
ාං
ස
ේ
වු
ප",,,"ව
ා
ය
ඛ්‍
ාං
ස
ල
ග
ද්
පු",,,"ේ
වු
ප
න
ටි
සි
ල
ව
රස
ව
ව
ල
නි
ති
ා
ඥ",,,"න්
යි
ල
ග
ද්
පු
න
ටි
සි
ල
ව
රස
ව
ව
ල
නි
ති
ා
ඥ",,,"ේ
වු
ප
ූ
ක්
ල
ට
ම
ෑ
ප
ල
බ",,,"න්
යි
ල
ග
ද්
පු
ූ
ක්
ල
ට
ම
ෑ
ප
ල
බ",,,"ම්
ෑ
ය
ය
මි",,,"න්
ය
ල
ග
ද්
පු
ූ
ල
ා
ව
තු",,,"න්
හ
ද
රු
තු
අ",,"නි
ා
හ
ස
ා
ව
නි
ණ
ර්
පූ",,,"නි
ා
හ
ස
ා
ව
නි
ධ
ර්
අ",
ගම්පහ,,,13,,,"ගංවතුර / තද
වර්ෂාපතනය /
දැඩි සුළං /
නාය යාම්",,,11,,,751,,,3551,,,17,,,66,,,23455,,,98052,,,,,,,,,,,2,,,38,,
රත්තනපුර,,,05,,,,,,3,,,15,,,47,,,183,,,726,,,322,,,1242,,,1,,,1,,,,,1,,,270,,
ලකාළඹ,,,08,,,,,,13,,,353,,,1469,,,,,,,,,6608,,,28240,,,,,,,,,,,,,,1,,
පුත්තතලම,,,08,,,,,,,,,,,,,,,,,,,,,915,,,3137,,,,,,,,,1,,,,,7,,
කළුතර,,,01,,,,,,,,,,,,,,,,,,,,,3,,,8,,,,,,,,,,,2,,,1,,
එකතුව,,,35,,,,,,27,,,1119,,,5067,,,200,,,792,,,31303,,,130672,,,1,,,1,,,1,,5,,,317,,
