දින්‍ය : 2026-07-17,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,31,25,85,60,ප්‍රධාන වශනයේ වැසි රහිත
මඩකලපුව,34,26,85,60,ප්‍රධාන වශනයේ වැසි රහිත
නකාළඹ,31,27,90,75,වැසි ස්වල්පයක්
ගාල්ල,30,26,90,80,වැසි ස්වල්පයක්
යාපනය,31,27,80,70,ප්‍රධාන වශනයේ වැසි රහිත
මහනුවර,29,20,90,65,වැසි ස්වල්පයක්
නුවරඑළිය,20,10,85,60,ප්‍රධාන වශනයේ වැසි රහිත
රත්නපුරය,32,23,95,65,වැසි ස්වල්පයක්
ිකුණාමලය,35,26,80,45,ප්‍රධාන වශනයේ වැසි රහිත
මේනාරම,30,28,85,75,ප්‍රධාන වශනයේ වැසි රහිත
