දින්‍ය : 2026-03-29,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,36,25,95,45,ප්‍රධාන වශහයන් වැසි රහිත
මඩකලපුව,33,25,95,65,ප්‍රධාන වශහයන් වැසි රහිත
හකාළඹ,33,27,90,50,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,33,27,85,70,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,34,24,95,60,වැසි සරවල්පයක්
මහනුවර,34,20,95,45,ප්‍රධාන වශහයන් වැසි රහිත
නුවරඑළිය,24,10,90,45,ප්‍රධාන වශහයන් වැසි රහිත
රත්නපුරය,38,23,95,40,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,34,24,95,65,ප්‍රධාන වශහයන් වැසි රහිත
මන්නාරම,33,27,95,70,ප්‍රධාන වශහයන් වැසි රහිත
