River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.90,2.60,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.60,2.56,Normal,,26.6,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.36,10.43,Normal,,8.9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.14,1.98,Normal,,14.4,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.16,1.16,Normal,,1.9,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.75,2.43,Normal,,75.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.13,1.19,Normal,,9.8,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.00,2.00,Normal,,1.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.44,6.48,Normal,,48.7,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.17,4.03,Normal,,47.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.63,2.60,Normal,,34.7,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,6.01,5.97,Alert,Falling,17.8,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.99,3.97,Alert,Falling,1.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.12,2.10,Normal,,4.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.56,1.57,Alert,Rising,8.4,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.22,4.17,Normal,,5.1,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.34,1.87,Normal,,12.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.34,2.62,Alert,Rising,107.1,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.30,1.50,Normal,,5.5,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.77,1.75,Normal,,0.5,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.51,1.46,Normal,,4.8,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.85,1.85,Normal,,0.0,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.17,0.17,Normal,,0.5,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.18,1.20,Normal,,9.5,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.99,0.98,Normal,,12.6,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.85,2.10,Normal,,30.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.49,1.53,Normal,,16.4,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.23,-2.10,Normal,,53.7,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.87,3.03,Normal,,10.3,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.43,1.44,Normal,,4.0,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.81,0.80,Normal,,18.9,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,4.77,4.77,Normal,,8.9,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.60,1.66,Normal,,10.5,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.52,2.55,Normal,,10.9,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,3.42,3.54,Normal,,39.9,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.74,5.64,Alert,Falling,5.2,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.49,4.35,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.35,3.28,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.16,4.10,Alert,Falling,0.5,
