පළාත,ජනවාරි 09,,,ජනවාරි 10,,,ජනවාරි 11
උතුර,,පැ.කි.මී. (50-60) දක්වා වන,,,පැ.කි.මී. (50-60) දක්වා,,"පැ.කි.මි.(30-40) පමණ දක්වා
වන තරමක තද සුළං"
,,ඉතා තෙ සුළං සමඟ විටින්,,,වන ඉතා තෙ සුළං සමඟ,,
,,විට හමන පැ.කි.මී. 70,,,විටින් විට හමන පැ.කි.මී.,,
,,දක්වා වන ප්‍රහාරාත්මක,,,70 දක්වා වන,,
,,සුළං,,,ප්‍රහාරාත්මක සුළං,,
උතුරු-මැෙ,,පැ.කි.මී. (50-60) දක්වා වන,,"විටින් විට පැ.කි.මි.(40-
50) පමණ දක්වා වන
තරමක තද සුළං",,,"පැ.කි.මි.(30-40) පමණ දක්වා
වන තරමක තද සුළං"
,,ඉතා තෙ සුළං සමඟ විටින්,,,විටින් විට පැ.කි.මි.(40-,,
,,විට හමන පැ.කි.මී. 70,,,50) පමණ දක්වා වන,,
,,දක්වා වන ප්‍රහාරාත්මක,,,තරමක තද සුළං,,
,,සුළං,,,,,
