Province,09th Jan.,,,10th Jan.,,,11th Jan.,,
Northern,,Very strong winds at,,,Very strong winds at,,"Winds up to
(30-40) kmph at
times",,
,,times about (50-60),,,times about (50-60),,,,
,,kmph and gusting up,,,kmph and gusting up,,,,
,,to 70 kmph,,,to 70 kmph,,,,
North-Central,,Very strong winds at,,"Fairly strong winds
(40-50) kmph at times",Fairly strong winds,,"Winds up to
(30-40) kmph at
times",,
,,times about (50-60),,,(40-50) kmph at times,,,,
,,kmph and gusting up,,,,,,,
,,to 70 kmph,,,,,,,
Eastern,"Strong winds at times
about (50-60) kmph",,,"Fairly strong winds
(30-40) kmph at times",,,,Winds up to,
,,,,,,,,(25-35) kmph at,
,,,,,,,,times,
