Sabaragamuwa,,Fairly strong winds up,,,Fairly strong winds,,"Winds up to
(25-35) kmph at
times",,
,,to (30-40) kmph at,,,up to (30-40) kmph at,,,,
,,times,,,times,,,,
Western,"Strong winds
(50-60) kmph at times",,,"Strong winds
(40-50) kmph at times",,,"Winds up to
(30-40) kmph at
times",,
Southern,,Fairly strong winds up,,,Fairly strong winds up,,,Winds up to,
,,to (30-40) kmph at,,,to (30-40) kmph at,,,(20-30) kmph at,
,,times,,,times,,,times,
Uva,"Strong winds
(40-50) kmph at times",,,,Fairly strong winds up,,,Winds up to,
,,,,,to (30-40) kmph at,,,(20-30) kmph at,
,,,,,times,,,times,
North-Western,"Strong winds
(50-60) kmph at times",,,"Strong winds
(40-50) kmph at times",,,"Winds up to
(25-35) kmph at
times",Winds up to,
,,,,,,,,(25-35) kmph at,
,,,,,,,,times,
Central,"Strong winds
(50-60) kmph at times",,,"Strong winds
(40-50) kmph at times",,,"Winds up to
(20-30) kmph at
times",,
