River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.60,2.10,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.83,2.82,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.98,10.96,Normal,,0.0
,Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.86,1.97,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.95,0.92,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.04,1.02,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.33,1.29,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.40,1.41,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.94,6.93,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.34,3.25,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.30,2.28,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.12,4.08,Normal,,0.0
"Gin Ganga
(RB 09)",Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.51,3.49,Normal,,0.0
,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.33,2.34,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.08,2.07,Minor Flood,Falling,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.71,5.70,Alert,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.79,1.78,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.26,1.24,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.77,2.82,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.89,1.88,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.92,1.92,Normal,,0.0
