River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water Level
Rising or
Falling","18 Hr RF
in mm at
3.00 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,5.70,5.70,Minor Flood,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,9.20,9.20,Minor Flood,,8,8.4,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,16.43,16.27,Alert,Falling,139.2,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.04,Normal,,25.4,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.30,2.63,Normal,,115,,.5,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.24,2.22,Normal,,23.3,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.93,0.94,Normal,,9.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.79,4.81,Minor Flood,Rising,23.2,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,8.60,8.55,Minor Flood,Falling,52.1,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,11.06,11.08,Major Flood,Rising,22.2,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.66,4.68,Minor Flood,Rising,23.7,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,7.52,7.30,Minor Flood,Falling,38.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.78,2.84,Major Flood,Rising,7.5,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,7.65,7.64,Major Flood,Falling,5.1,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,4.08,3.81,Normal,,13.2,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.64,1.58,Normal,,20.5,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.38,1.31,Normal,,0.5,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.37,0.38,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.80,0.80,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.33,1.33,Normal,,0.0,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.23,-0.23,Normal,,0.7,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.13,1.12,Normal,,3.8,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.46,0.46,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.58,0.58,Normal,,4.5,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.50,-2.55,Normal,,1.0,,,
,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.88,2.80,Normal,,0.7,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.82,1.78,Normal,,29.2,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.60,0.58,Normal,,1.6,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.51,1.51,Normal,,5.7,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.52,0.52,Normal,,5.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.37,1.39,Normal,,7.4,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,5.00,4.92,Normal,,7,2.5,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.55,3.55,Normal,,189.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.40,5.74,Major Flood,Rising,108,,.5,
