River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr R
in mm
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.10,1.90,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.80,3.76,Normal,,25.1
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.36,11.28,Normal,,5.2
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.76,1.58,Normal,,26.5
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.84,0.80,Normal,,19.7
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.16,1.12,Normal,,13.9
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.95,0.94,Normal,,24.4
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.80,2.81,Normal,,23.3
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.73,8.71,Normal,,16.7
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.37,3.32,Normal,,12.7
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.37,3.40,Normal,,31.4
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.65,6.64,Minor Flood,Falling,13.1
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.18,2.13,Normal,,5.9
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.80,3.78,Alert,Falling,30.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.77,1.77,Minor Flood,,28.2
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.47,5.40,Alert,Falling,33.7
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.28,1.26,Normal,,15.2
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.53,0.52,Normal,,13.6
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.64,0.64,Normal,,0.6
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.20,-0.20,Normal,,2.6
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.49,0.49,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.95,0.94,Normal,,0.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.33,-0.33,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.63,0.62,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.16,0.16,Normal,,0.4
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.9
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.38,-1.38,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.24,-0.24,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.80,-2.82,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.80,1.78,Normal,,15.2
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.53,1.59,Normal,,30.5
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.22,0.21,Normal,,1.4
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.43,1.43,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.39,0.39,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.44,0.44,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.04,0.03,Normal,,0.9
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,-0.15,-0.15,Normal,,14.5
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.62,2.61,Normal,,32.7
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.37,1.36,Normal,,21.8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.08,3.06,Normal,,22.4
