River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water Level
Rising or
Falling","18 Hr RF
in mm at
3.00 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.20,2.50,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.30,2.38,Normal,,13.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.70,10.75,Normal,,9.8
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.80,1.79,Normal,,6.2
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.01,1.90,Normal,,28.1
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.79,0.77,Normal,,4.7
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.12,1.08,Normal,,24.8
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.45,2.46,Normal,,1.1
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.78,7.75,Normal,,0.6
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.65,3.55,Normal,,5.8
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.80,4.68,Alert,Falling,0.6
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.94,6.96,Minor Flood,Rising,0.8
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.10,4.11,Minor Flood,Rising,2.8
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.18,3.01,Normal,,7.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.57,1.58,Alert,Rising,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.10,6.15,Minor Flood,Rising,23.9
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.96,2.90,Normal,,25.7
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.70,2.40,Normal,,7.4
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.91,1.60,Normal,,38.2
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,2.19,2.06,Normal,,14.3
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.40,1.37,Normal,,75.7
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.00,1.94,Normal,,16.8
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.23,0.23,Normal,,42.8
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.05,1.03,Normal,,11.6
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.77,0.77,Normal,,3.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.78,1.60,Normal,,2.7
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.89,0.97,Normal,,11.8
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.71,-1.77,Normal,,4.9
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.05,3.15,Normal,,13.9
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.35,1.34,Normal,,24.8
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.63,0.59,Normal,,18.6
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.92,1.93,Normal,,21.6
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.68,1.70,Normal,,33.7
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.38,2.76,Normal,,22.6
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.16,3.65,Normal,,38.6
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,4.30,4.61,Normal,,45.4
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.70,3.78,Alert,Rising,28.8
