River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.65,1.80,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.59,1.58,Normal,,11.1,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.48,9.43,Normal,,30.1,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.53,1.23,Normal,,6.5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.62,0.62,Normal,,1.1,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.25,0.24,Normal,,8.3,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.80,0.80,Normal,,0.5,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.62,0.64,Normal,,1.6,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.00,5.00,Normal,,29.4,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.19,1.18,Normal,,6.8,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.38,2.36,Normal,,15.4,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.38,3.37,Normal,,38.5,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.60,2.47,Normal,,62.,2
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.15,2.15,Normal,,12.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.12,1.15,Normal,,3.9,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.48,5.46,Alert,Falling,14.7,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.28,2.05,Normal,,67.,5
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.16,1.14,Normal,,39.2,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.38,1.36,Normal,,2.5,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.06,1.02,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.86,0.86,Normal,,18.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.54,1.53,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.18,-0.18,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.59,1.56,Normal,,23.2,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.82,0.90,Normal,,17.9,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.58,0.56,Normal,,29.3,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.37,-0.34,Normal,,35.8,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.77,0.80,Normal,,35.8,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.97,-2.04,Normal,,14.9,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.32,1.31,Normal,,1.6,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.97,0.96,Normal,,3.5,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.69,0.67,Normal,,22.1,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.36,2.37,Normal,,108.8,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.55,Normal,,58.,0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,3.40,3.40,Normal,,40.5,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.84,0.84,Normal,,7.1,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,1.58,1.56,Normal,,22.9,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.61,2.59,Normal,,19.8,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.34,1.33,Normal,,5.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.26,2.22,Normal,,9.4,
