River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12.00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.50,1.55,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.74,2.71,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.65,10.63,Normal,,1.9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.06,1.79,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.92,0.91,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.83,0.79,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.02,1.02,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.20,1.17,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.40,6.36,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.07,2.03,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.70,1.68,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.78,3.75,Normal,,1.5,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.99,3.03,Normal,,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.22,2.20,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.83,1.83,Minor Flood,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.53,5.52,Alert,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.87,1.86,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.18,1.18,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.17,3.15,Normal,,1.4,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.90,1.85,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.42,2.38,Normal,,0.0,
