River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12.00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.60,3.60,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.93,5.82,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.45,12.33,Normal,,0.0
,Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.13,2.05,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.47,1.43,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.08,1.07,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.12,1.11,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.42,2.42,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.26,8.24,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.68,3.60,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.81,2.70,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.00,5.99,Alert,Falling,0.0
"Gin Ganga
(RB 09)",Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.23,3.20,Normal,,0.0
,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.39,2.37,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.93,1.93,Minor Flood,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.32,6.28,Minor Flood,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.04,2.02,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.31,1.30,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,2.74,2.74,Alert,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.36,2.36,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.68,2.66,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,4.80,4.57,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,3.08,2.96,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.25,5.26,Minor Flood,Rising,0.0
