,"ය
ක
ක්
ි
රස
දි",,,"ව
ා
ය
ඛ්‍
ාං
ස
.
ේ
ද
.
ා
ප්‍ර",,,"ව
ා
ද
ප
ආ",,,"න
ා
ථ
රස
ත
ක්‍ෂි
ර
ආ","ව
ා
ය
ඛ්‍
ාං
ස",,,"ව
ා
ය
ඛ්‍
ාං
ස
ේ
වු
ප",,,"ව
ා
ය
ඛ්‍
ාං
ස
ල
ග
ේ
පු",,,"ල
ව
ස
ා
ව
නි
ති
ා
ඥ","ේ
වු
ප
න
ටි
සි",,,"න
ටි
සි
ස
ා
ව
නි
ති
ා
ඥ","න්
යි
ල
ග
ේ
පු",,,"වූ
ක්
ල
ට
ම
ෑ
ප
ල
බ","ේ
වු
ප",,,"වූ
ක්
ල
ට
ම
ෑ
ප
ල
බ","න්
යි
ල
ග
ේ
පු",,,"ම්
ෑ
ය
ය
මි",,,"වූ
ල
ා
ව
තු","න්
ය
ල
ග
ේ
පු",,,"න්
හ
ද
රු
තු
අ",,"නි
ා
හ
ස
ා
ව
නි
ණ
ර්
පූ",,,"නි
ා
හ
ස
ා
ව
නි
ධ්‍
ර්
අ",
බදුල්ල,,,14,,,"අධික වර්ෂාව
/ පස් කදු
කඩා වැටීම්/
දැඩි සුළං /
ගංවතුර/
ක්ෂණික
ගංවතුර/
අකුණු",,,4,,,,33,,,123,,,,,,,,,,,816,,,,3190,,,,4,,,,,,,,,11,,,644,,
නුවරඑළිය,,,03,,,,,,1,,,,7,,,29,,,10,,,,45,,,,21,,,,82,,,,,,,,,,,,,,,,9,,
මාතලල්,,,04,,,,,,,,,,,,,,,,,,,,,,,,5,,,,18,,,,1,,,,,,,,,,,,5,,
ගම්පහ,,,05,,,,,,3,,,,136,,,613,,,,,,,,,,,1062,,,,4269,,,,,,,,,,,,,,,,22,,
ලකාළඹ,,,04,,,,,,,,,,,,,,,,,,,,,,,,528,,,,2321,,,,,,,,,,,,,,,,24,,
මන්නාරම,,,05,,,,,,3,,,,25,,,105,,,,,,,,,,,3501,,,,12350,,,,,,,,,,,,,,,,,,
රත්තනපුර,,,05,,,,,,,,,,,,,,,,,,,,,,,,26,,,,97,,,,,,,,,,,,,,,,14,,
කලුතර,,,14,,,,,,3,,,,22,,,85,,,,,,,,,,,614,,,,2528,,,,,,,,,,,,,,,,47,,
පුත්තතලම,,,05,,,,,,,,,,,,,,,,,,,,,,,,819,,,,3253,,,,3,,,,,,,1,,,,,,,
අනුරාධපුර,,,08,,,,,,,,,,,,,,,,982,,,,3396,,,,982,,,,3396,,,,,,,,,,,,,,,,,,
යාපනය,,,15,,,,,,8,,,,139,,,463,,,,,,,,,,,7584,,,,25508,,,,,,,,,,,,,,,,75,,
ගාල්ල,,,12,,,,,,1,,,,22,,,80,,,,,,,,,,,595,,,,2574,,,,1,,,2,,,,,,2,,,40,,
කෑගල්ල,,,10,,,,,,,,,,,,,,,,28,,,,96,,,,380,,,,1317,,,,4,,,2,,,,,,7,,,256,,
කුරුණෑගල,,,09,,,,,,,,,,,,,,,,,,,,,,,,437,,,,1184,,,,6,,,1,,,,,,,,,2,,
කිලිලනාච්චිය,,,04,,,,,,,,,,,,,,,,,,,,,,,,45,,,,145,,,,,,,,,,,,,,,,1,,
මුලතිව්,,,05,,,,,,,,,,,,,,,,,,,,,,,,2,,,,11,,,,1,,,,,,,,,,,,2,,
වවුනියාව,,,04,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,1,,
එකතුව,,,126,,,,,,23,,,,384,,,1498,,,1020,,,,3537,,,,17481,,,,62247,,,,20,,,05,,,,1,,18,,,960,,
