River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.50,1.20,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.84,1.82,Normal,,0.2,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.05,10.02,Normal,,9.4,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.65,1.70,Normal,,13.4,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.64,0.63,Normal,,0.0,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.73,0.74,Normal,,2.6,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.97,0.97,Normal,,4.7,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.14,1.08,Normal,,3.6,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.53,5.56,Normal,,2.0,,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.00,1.97,Normal,,0.7,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.57,4.45,Alert,Falling,55.0,,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,4.60,4.61,Normal,,18.5,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.67,2.70,Normal,,17.6,,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.51,2.45,Normal,,60.8,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.80,0.80,Normal,,0.0,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.01,4.09,Normal,,0.0,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.53,1.45,Normal,,2.3,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.94,0.92,Normal,,6.3,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.70,1.75,Normal,,67.2,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.12,1.12,Normal,,5.5,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.15,1.15,Normal,,2.5,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.50,1.49,Normal,,2.3,,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.16,0.16,Normal,,2,5.1,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.87,0.86,Normal,,8.7,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.71,0.67,Normal,,2,7.8,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.45,0.44,Normal,,36,,.6,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.62,0.62,Normal,,2,7.4,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.00,-1.95,Normal,,1.0,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.23,3.22,Normal,,1.5,,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.17,1.17,Normal,,6.1,,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.44,0.44,Normal,,0.8,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.17,2.14,Normal,,18.4,,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.67,0.65,Normal,,7.6,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.65,1.65,Normal,,3.9,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.53,0.53,Normal,,0.5,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.70,0.70,Normal,,5.3,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.89,2.87,Normal,,4.5,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.64,1.62,Normal,,0.0,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.54,1.53,Normal,,8.2,,,,
