River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.40,2.50,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.50,3.45,Normal,,25.8,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.23,11.21,Normal,,40.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.80,1.80,Normal,,31.8,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.80,0.78,Normal,,7.6,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.42,1.37,Normal,,34.1,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.68,0.68,Normal,,3.9,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.41,1.39,Normal,,2.4,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.22,6.20,Normal,,13.2,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.05,2.03,Normal,,5.6,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.19,2.18,Normal,,0.7,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.14,4.10,Normal,,12.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.31,2.29,Normal,,0.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.86,1.86,Normal,,1.8,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.40,0.45,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.92,2.87,Normal,,3.2,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.73,0.72,Normal,,2.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.18,0.17,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.86,0.87,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.38,0.38,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.54,0.54,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.22,1.20,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.13,-0.13,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.62,0.62,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.44,0.44,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.03,-0.01,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.22,-3.28,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.12,2.10,Normal,,3.6,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.78,1.76,Normal,,29.8,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.19,0.18,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.29,1.29,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.51,0.51,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.30,1.31,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.25,0.27,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.35,0.36,Normal,,3.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.67,2.67,Normal,,8.5,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.45,1.46,Normal,,5.1,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.98,1.96,Normal,,9.5,
