River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12.00
noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.30,2.60,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.57,2.50,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.98,9.96,Normal,,0.0
,Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.30,1.40,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.67,0.67,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.72,0.66,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.88,0.87,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.74,1.77,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.43,7.40,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.25,3.15,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.92,3.80,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.14,5.13,Alert,Falling,0.0
"Gin Ganga
(RB 09)",Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.31,3.31,Normal,,0.0
,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.12,2.10,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.02,2.02,Minor Flood,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.59,5.56,Alert,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.76,1.75,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.23,1.22,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.76,2.77,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.54,1.54,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.48,2.44,Normal,,0.0
