River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at
3.00 pm",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.90,2.10,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.08,3.00,Normal,,0.0,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.35,10.35,Normal,,0.0,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.65,1.76,Normal,,24.5,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.78,0.77,Normal,,3.1,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.83,0.87,Normal,,1.1,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.95,0.95,Normal,,,10.8,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.46,2.43,Normal,,0.7,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.15,7.09,Normal,,0.0,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.95,2.94,Normal,,1.0,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.75,2.78,Normal,,,9.3,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.52,6.48,Alert,Falling,0.3,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.16,4.16,Minor Flood,,1.0,,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.00,3.15,Normal,,31.0,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.92,1.92,Minor Flood,,4.2,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.84,5.90,Alert,Rising,0.0,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.44,2.40,Normal,,17.,,,8,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.55,1.48,Normal,,0.0,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,3.28,3.40,Alert,Rising,1,,4.1,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,6.32,6.44,Alert,Rising,5.5,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,5.83,5.83,Alert,,3.4,,,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.79,2.79,Normal,,0.0,,,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.55,1.55,Normal,,0.0,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.70,2.64,Normal,,0.5,,,,
