River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
9
Level
Rising or
Falling","Hr RF in
mm at 6.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.00,3.80,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.54,5.50,Normal,,7.9,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.52,12.53,Normal,,13.4,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.79,1.95,Normal,,17.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.20,2.10,Normal,,30.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.21,1.88,Normal,,19.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.32,1.34,Normal,,23.3,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.08,3.08,Alert,,13.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.61,8.60,Normal,,21.9,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.28,4.33,Normal,,9.4,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.07,3.02,Normal,,2.1,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.05,7.03,Minor Flood,Falling,17.4,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.36,3.35,Normal,,10.1,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.68,2.75,Normal,,4.8,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.31,1.32,Normal,,3.7,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.80,4.86,Normal,,13.2,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.75,1.85,Normal,,17.4,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,NA,1.30,Normal,,15.9,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.22,1.22,Normal,,5.5,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.53,0.54,Normal,,3.2,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.79,0.78,Normal,,2.2,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.32,1.32,Normal,,0.8,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.19,-0.19,Normal,,8.1,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.81,0.80,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.49,0.49,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.39,0.39,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.42,0.48,Normal,,0.6,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.22,-2.21,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.50,2.53,Normal,,9.9,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.95,1.93,Normal,,21.8,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.36,0.36,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.77,1.78,Normal,,1.1,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,1.9,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.62,1.62,Normal,,1.4,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.85,0.88,Normal,,29.6,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.78,3.76,Normal,,44.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.90,3.89,Normal,,15.7,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.05,3.08,Normal,,7.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.06,5.05,Minor Flood,Falling,32.6,
