දින්‍ය : 2026-06-09,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,34,25,90,70,වැසි ස්වල්පයක්
මඩකලපුව,35,28,75,60,ප්‍රධාන වශහයන් වැසි රහිත
හකාළඹ,31,25,90,70,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,30,25,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,32,28,80,70,ප්‍රධාන වශහයන් වැසි රහිත
මහනුවර,28,23,85,75,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
නුවරඑළිය,19,14,95,80,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
රත්නපුරය,31,24,95,70,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,34,27,75,50,ප්‍රධාන වශහයන් වැසි රහිත
මන්නාරම,31,29,80,70,වැසි ස්වල්පයක්
