"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය /jpfjp / Date : 09th May 2021 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j
jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS
Division",,,"පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpas
T
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்க
ளின்
சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
,,,Balangoda,"Heavy Rain / High Wind
& Landslide Risk",2021.03.22,40,150,,,,1,35,1,,1,3,19,"Official residence of the
Municipal Secretary
Balangoda"
,1,"රත්නපුර
,uj;jpdGhp
Rathnapura",Pelmadulla,Flood/Heavy Rain,2021.05.03,70,261,,,,,70,20,,,,,
,,,Godakawela,Flood/Cutting Failure,2021.05.03,7,29,,,,,4,,,,,,
,,,Ayagama,Heavy Rain & Wind,2021.05.02,2,7,,,,,2,,,,,,
,,,Opanayaka,Heavy Rain,2021.05.03,12,52,,,,1,1,,,,,,
,,,Eheliyagoda,Heavy Rain/Lightning,2021.05.02/04,8,24,,,,1,7,,,,,,
,,,Kolonna,Cutting Failure,2021.05.02/04,8,26,,,,1,7,,,,,,
,,,Kiriella,Lightning/High Wind,2021.05.03,2,9,,,,,2,,,,,,
,,,Kahawatta,Flood/Heavy Rain,2021.05.03,21,88,,,,,21,,,,,,
,,,Ratnapura,Lightning/High Wind,2021.05.03,6,27,,,,,6,,,,,,
,,,Nivitigala,Flood,2021.05.04,18,66,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,194,739,0,0,0,4,155,21,0,1,3,19,
"ස්ත්‍බරගමුව පලාත
rg;ufKt
Sabaragamuw
a",2,"කෑගල්ල
Nffhiy Kegalle",Kegalla,Lightning & Wind,"2021.04.12/1
3/16",4,16,,,,,5,,,,,,
,,,Ruwanwella,Tree Fallen,2021.04.16,1,3,,,,,,,,,,,
,,,,Lightning,2021.04.24,4,17,,,,1,,,,,,,
,,,,Heavy Rain,2021:05:03,1,2,,,,,1,,,,,,
,,,,Lightning,,1,7,,,,,1,,,,,,
,,,Yatiyanthota,Tree Fallen,20211.19/02,6,23,,,,,6,,,,,,
,,,,Lightnig/Land Slide,2021.05.03,7,33,,1,,,3,,,,,,
,,,Warakapola,Lightning,2021.05.02,1,4,,,,,1,,,,,,
,,,,Heavy Rain,2021.05.03,1,1,,,,,1,,,,,,
,,,,Lightning,2021.05.03,2,9,,,,2,,,,,,,
,,,Galigamuwa,Lightning,2021.05.02,3,12,,,,,3,,,,,,
,,,,Rock Fallen,"2021.05.02/0
3",4,13,,,,,4,,,,,,
,,,,Lightning,2021:05:04,3,11,,,,,3,,,,,,
,,,Deraniyagala,Lightning,2021.05.02,3,10,,,,,3,,,,,,
,,,,Cutting Failure,2021:05:04,6,25,,,,,6,,,,,,
,,,,Flood,,6,25,,,,,6,,,,,,
,,,,Lightning,,2,7,,,,,2,,,,,,
,,,Bulathkohupitiya,Lightning,2021.04.30,6,28,,,,,6,,,,,,
,,,Dehiovita,Lightning,2021.05.03,2,9,,,,,,,,,,,
,,,Aranayaka,Lightning,2021.05.03,1,5,,,,,,,,,,,
,,,Rambukkana,Tree Fallen,2021:05:04,2,7,,,,1,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,66,267,0,1,0,4,52,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,260,1006,0,1,0,8,207,21,0,1,3,19,
