දිනය : 2026-04-01,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,35,24,90,45,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,32,24,85,60,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,33,26,85,65,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,33,26,90,70,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,34,24,90,60,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,34,21,90,55,ප්‍රධාන වශයයන් වැසි රහිත
නුවරඑළිය,25,8,85,30,ප්‍රධාන වශයයන් වැසි රහිත
රත්නපුරය,37,23,95,50,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,34,23,90,55,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,34,25,85,55,ප්‍රධාන වශයයන් වැසි රහිත
