பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 4 - 0 1,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,35,24,90,45,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,32,24,85,60,பிரதானமாக சீரான வானிலை
வகாழும்பு,33,26,85,65,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
சாத்தியம்"
காலி,33,26,90,70,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
சாத்தியம்"
யாழ்ப்பாணம்,34,24,90,60,பிரதானமாக சீரான வானிலை
கண்டி,34,21,90,55,பிரதானமாக சீரான வானிலை
நுவவரலியா,25,8,85,30,பிரதானமாக சீரான வானிலை
இரத்தினபுரி,37,23,95,50,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
சாத்தியம்"
திருககாணமலை,34,23,90,55,பிரதானமாக சீரான வானிலை
மன்னார்,34,25,85,55,பிரதானமாக சீரான வானிலை
