River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.10,1.80,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.80,2.79,Normal,,9.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.70,10.68,Normal,,0.9,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.96,1.91,Normal,,0.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.95,0.95,Normal,,0.6,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.82,0.79,Normal,,1.6,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.02,1.00,Normal,,1.6,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.41,1.35,Normal,,2.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.56,6.50,Normal,,1.7,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.16,2.14,Normal,,15.7,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.75,1.72,Normal,,4.2,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.91,3.87,Normal,,3.9,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.93,2.95,Normal,,54.0,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.26,2.27,Normal,,13.9,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.84,1.84,Minor Flood,,47.5,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.56,5.54,Alert,Falling,2,3.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.89,1.90,Normal,,38.9,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.19,1.19,Normal,,9.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.96,0.95,Normal,,39.7,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.08,1.05,Normal,,6.4,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.67,0.67,Normal,,1.5,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.69,1.69,Normal,,7.8,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.05,0.04,Normal,,4.4,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.20,1.18,Normal,,0.3,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.60,0.59,Normal,,1.1,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.55,0.53,Normal,,3,0.2,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.78,-0.81,Normal,,2.4,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.36,0.33,Normal,,2.4,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.03,-2.98,Normal,,2,6.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.98,3.00,Normal,,8.2,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.45,1.44,Normal,,11.1,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.58,0.60,Normal,,3.4,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.98,2.00,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.49,0.48,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.23,1.19,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.07,0.08,Normal,,0.8,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.88,1.82,Normal,,11.8,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.22,3.21,Normal,,0.3,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.00,1.95,Normal,,3.9,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.56,2.52,Normal,,10.3,,,
