8,"කළුතර
fSj;Jiw
Kalutara",Kalutara,Flash Flood,2025.10.19-25,60,246,,,,,6,,,,,,
,,Dodangoda,Heavy Rain,2025.10.20-23,5,18,,,,1,4,,,,,,
,,Walallawita,Lightning/High Wind,2025.10.20-23,11,40,,,,,11,,,,,,
,,Bulathsinghala,"Heavy Rain and High
Wind",2025.10.20/22,10,45,,,,,10,,,,,,
,,Mathugama,,2025.10.20-23,6,27,,,,,6,,,,,,
,,Horana,Cutting Failure,2025.10.20,1,5,,,,,1,,,,,,
,,Beruwala,Cutting Failure,2025.10.21,9,45,,,,,1,,,,,,
,,Panadura,Flood,2025.10.21,245,1115,,,,,2,,,,,,
,,Agalawaththa,High Wind,2025.10.22,1,5,,,,,1,,,,,,
,,Palindanuwara,High Wind,2025.10.21/23,7,37,,,,,7,,,,,,
,,Ingiriya,High Wind,2025.10.25,3,10,,,,,3,,,,,,
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,358,1593,0,0,0,1,52,0,0,0,0,0,
9,"මකාළඹ
nfhOk;G
Colombo",Thibirigasyaya,Flood,2025.10.20,231,778,,,,,5,,,1,8,33,Wanathamulle
,,Seethawaka,"Heavy Rain and High
Wind",2025.10.18,7,18,,,,,7,,,,,,"Mohomad
community hall"
,,Kaduwela,Lightning,2025.10.21,1,4,,,,,1,,,,,,
,,,Landslide,2025.10.21,3,14,,,,,3,,,,,,
,,Moratuwa,High Wind,2025.10.22,2,14,,,,,1,,,,,,
,,,"Heavy Rain and High
Wind",2025.10.25,98,402,,,,,9,,,1,84,366,"Molpe
Gangarama
Temple"
,,,Flood,2025.10.25,48,177,,,,,,,,1,37,133,"Katubedda
Bodiraja Temple"
,,Colombo,Flood,2025.10.23,51,300,,,,,,,,,,,
,,,High Wind,2025.10.23,2,8,,,,,,,,,,,
,,Maharagama,Cutting Failure,2025.10.22,2,,,,,,,,,,,,
,,Kolonnawa,Lightning,2025.10.25,1,4,,,,,1,,,,,,
,,,High Wind,2025.10.22/25,4,15,,,,,4,,,,,,
,,Padukka,Lightning,2025.10.19,1,4,,,,,1,,,,,,
,,,Tree Falling,2025.10.21/23,5,15,,,,,4,,,,,,
,,,Cutting Failure,2025.10.21,1,7,,,,,1,,,,,,
,,Dehiwala,High Wind,2025.10.22,5,15,,,,,5,,,,,,
,,Homagama,Cutting Failure,2025.10.20,1,6,,,,,1,,,,,,
,,,Landslide,2025.10.20,1,4,,,,,1,,,,,,
,,,High Wind,2025.10.19,2,9,,,,,2,,,,,,
,,,Lightning,2025.10.18,4,16,,,,,,,,,,,
,,Rathmalana,Flood,2025.10.25,8,30,,,,,,,,,,,
,,,High Wind,2025.10.22/25,12,39,,,,,12,,,,,,
,,Kesbewa,Cutting Failure,2025.10.24,2,8,,,,,,,,,,,
,,,High Wind,2025.10.24,2,9,,,,1,1,,,,,,
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,494,1896,0,0,0,1,59,0,0,3,129,532,
10,"ගම්පහ
fk;g`h
Gampaha",Waththala,Flood,2025.10.23-25,3769,14816,,,,,5,,,,,,
,,Kelaniya,Flood,2025.10.25,95,466,,,,,,,,,,,
,,Ja Ela,Flood,2025.10.25,59,222,,,,,,,,,,,
,,Biyagama,High Wind,2025.10.21,1,4,,,,,1,,,,,,
,,Meerigama,High Wind,2025.10.21,1,1,,,,,1,,,,,,
,,Mahara,High Wind,2025.10.23,1,5,,,,,1,,,,,,
,,,Flood,2025.10.25,44,210,,,,,1,,,,,,
,,Aththanagalla,Heavy Rain,2025.10.22,2,9,,,,,2,,,,,,
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,3972,15733,0,0,0,0,11,0,0,0,0,0,
පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,4824,19222,0,0,0,2,122,0,0,3,129,532,
