River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.90,2.10,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.14,1.12,Normal,,16.1,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.36,9.53,Normal,,2.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.89,1.91,Normal,,37.1,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.47,0.47,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.57,0.69,Normal,,24.9,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.23,1.22,Normal,,2.7,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.65,0.64,Normal,,4.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.40,5.61,Normal,,83.1,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.50,1.52,Normal,,8.4,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.98,1.00,Normal,,4.0,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,1.65,1.75,Normal,,75.8,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.06,1.05,Normal,,2.7,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.98,2.81,Normal,,94.1,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.22,0.24,Normal,,2.9,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.24,2.29,Normal,,12.1,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.78,1.70,Normal,,8.3,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.67,2.42,Normal,,50,.3,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.32,1.20,Normal,,35.8,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.57,1.08,Normal,,56,.4,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.82,0.81,Normal,,29.7,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.24,1.31,Normal,,54,.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.10,0.11,Normal,,5.9,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.68,0.68,Normal,,8.9,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.50,0.49,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.13,0.13,Normal,,0.2,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.10,-0.11,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.14,-3.09,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.30,2.70,Normal,,8.4,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.97,0.98,Normal,,5.8,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.21,0.16,Normal,,0.3,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.80,1.80,Normal,,5.6,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.66,0.66,Normal,,6.7,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.45,1.45,Normal,,1.2,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.66,0.68,Normal,,7.1,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.29,1.28,Normal,,24.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.24,2.24,Normal,,8.6,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.13,1.13,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.02,1.02,Normal,,0.0,,
