දින්‍ය : 2026-07-06,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,33,27,90,60,ප්‍රධ්‍ාන වශවයන වැසි රහිත
මඩකලපුව,36,26,80,45,ප්‍රධ්‍ාන වශවයන වැසි රහිත
වකාළඹ,32,28,90,75,වැසි ස්වල්පයක්
ගාල්ල,30,27,90,80,වැසි ස්වල්පයක්
යාපනය,33,28,80,70,ප්‍රධ්‍ාන වශවයන වැසි රහිත
මහනුවර,31,22,95,75,වැසි ස්වල්පයක්
නුවරඑළිය,21,13,95,65,වැසි ස්වල්පයක්
රත්නපුරය,33,25,95,75,වැසි ස්වල්පයක්
ිකුණාමලය,37,27,80,45,ප්‍රධ්‍ාන වශවයන වැසි රහිත
මනනාරම,31,27,85,75,ප්‍රධ්‍ාන වශවයන වැසි රහිත
