River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.40,0.90,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.69,2.68,Normal,,16.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.81,10.78,Normal,,7.2,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.00,Normal,,0.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.86,0.86,Normal,,2.6,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.02,1.02,Normal,,4.2,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.99,0.98,Normal,,2.7,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.84,0.74,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.84,5.84,Normal,,4.0,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.09,2.06,Normal,,0.4,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.58,1.61,Normal,,6.3,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.06,3.06,Normal,,1.8,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.13,2.12,Normal,,0.0,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.00,1.96,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.76,1.74,Minor Flood,Falling,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.81,4.77,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.46,1.45,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.81,0.81,Normal,,18.7,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.77,0.76,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.05,1.02,Normal,,4.4,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.79,0.82,Normal,,5.9,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.75,1.74,Normal,,11,.1,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.02,-0.07,Normal,,1.6,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.90,0.90,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.50,0.48,Normal,,10,.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.78,0.78,Normal,,21.4,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.03,-1.03,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.11,0.11,Normal,,0.0,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.83,-2.86,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.56,3.62,Normal,,4.9,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.50,1.50,Normal,,3.7,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.53,0.54,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.98,1.97,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.42,0.42,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.03,1.02,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.06,-0.06,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,1.38,1.39,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.69,2.68,Normal,,1.5,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.44,1.44,Normal,,0.9,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.75,1.75,Normal,,11,.2,,
