River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.65,4.80,Alert,Rising,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,8.04,8.08,Minor Flood,Rising,54.7
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,17.56,17.52,Minor Flood,Falling,87.6
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.58,2.70,Normal,,159.1
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.62,2.48,Normal,,100.8
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.40,2.31,Normal,,112.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.06,1.04,Normal,,42.8
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.81,2.83,Normal,,46.6
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.94,8.96,Normal,,111.7
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.18,6.08,Alert,Falling,76.5
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.61,5.59,Alert,Falling,45.7
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.99,7.04,Minor Flood,Rising,66.3
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.02,2.94,Normal,,30.0
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.84,2.87,Normal,,8.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.02,1.02,Normal,,5.9
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.04,5.00,Alert,Falling,17.4
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.97,1.97,Normal,,41.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.22,1.17,Normal,,116.6
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.05,1.02,Normal,,0.8
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.13,0.21,Normal,,5.1
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.66,0.66,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.08,1.08,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.34,-0.34,Normal,,0.6
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.10,1.08,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.26,0.26,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.13,0.13,Normal,,22.3
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.88,-0.88,Normal,,0.8
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.26,0.26,Normal,,0.8
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.56,-2.63,Normal,,5.4
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.99,4.90,Normal,,120.3
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.25,2.20,Normal,,129.1
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.65,0.64,Normal,,49.1
,Agra Oya,Calidonia,m,3.00,3.50,4.50,1.37,1.32,Normal,,46.5
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.57,1.57,Normal,,2.1
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.36,0.36,Normal,,13.9
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.64,0.64,Normal,,2.8
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.14,0.14,Normal,,20.3
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,3.26,3.26,Normal,,54.1
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,7.35,7.50,Minor Flood,Rising,12.1
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,7.41,7.01,Minor Flood,Falling,30.9
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.02,5.03,Minor Flood,Rising,58.1
