River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3.00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.30,3.20,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.36,5.26,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.15,12.02,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.05,2.05,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.56,1.50,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.03,0.96,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.17,1.16,Normal,,2.1,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.25,2.25,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.25,8.26,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.71,3.62,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.69,2.60,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.07,6.05,Alert,Falling,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.75,2.73,Normal,,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.25,2.22,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.85,1.84,Minor Flood,Falling,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.78,5.76,Alert,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.88,2.12,Normal,,53.8,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.27,1.35,Normal,,,12.7
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,2.80,2.79,Alert,Falling,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.02,2.03,Normal,,3.9,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,6.15,6.20,Minor Flood,Rising,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,5.66,5.47,Alert,Falling,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.98,3.93,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.09,5.09,Minor Flood,,0.0,
