River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12.00
Noon",Remarks,"Water
Level Rising
or Falling","3 Hr RF in
mm at
12.00 Noon",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.10,2.10,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.91,2.87,Normal,,3.3,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.55,10.50,Normal,,5.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.59,1.46,Normal,,0.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.60,0.58,Normal,,0.8,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.04,1.12,Normal,,4.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.76,0.76,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.15,2.15,Normal,,2.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.27,7.19,Normal,,10.7,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.81,3.02,Normal,,2.8,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.87,2.98,Normal,,13.4,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.94,5.93,Alert,Falling,18.6,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.60,4.32,Alert,Rising,7,,9.1
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.53,3.55,Alert,Rising,1.4,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.21,1.21,Normal,,22.8,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.00,5.66,Alert,Rising,,38.7,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,4.09,4.94,Alert,Rising,154.6,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.65,2.06,Normal,,6,,6.5
