River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.70,1.40,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.74,0.75,Normal,,0.3,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.04,9.04,Normal,,1.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.56,1.55,Normal,,5.5,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.55,0.54,Normal,,1,8.2,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.53,0.57,Normal,,2.2,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.70,0.70,Normal,,12.7,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.83,0.76,Normal,,7.8,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.95,5.02,Normal,,4.1,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.88,1.84,Normal,,6.9,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.99,1.90,Normal,,10.6,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.66,2.71,Normal,,38.8,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.71,1.74,Normal,,0.5,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.64,2.66,Normal,,26.9,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.68,0.66,Normal,,2.5,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.98,2.97,Normal,,2.1,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.97,1.13,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.01,0.95,Normal,,5.9,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.00,1.20,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.00,1.00,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.13,1.13,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.33,1.33,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.08,-0.08,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.15,1.15,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.70,0.70,Normal,,0.6,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.92,0.95,Normal,,1.9,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.73,1.72,Normal,,0.3,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.02,-1.23,Normal,,1.4,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.10,2.10,Normal,,0.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.89,0.89,Normal,,4.2,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.77,0.78,Normal,,2.7,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.23,2.22,Normal,,1.6,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.88,0.88,Normal,,2.3,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.95,1.95,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.43,0.42,Normal,,1.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.65,0.64,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.15,2.15,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.03,1.03,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.79,0.78,Normal,,0.0,,
