River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.50,3.60,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,7.60,7.97,Alert,Rising,196.3
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,16.00,16.17,Alert,Rising,102.1
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.02,2.00,Normal,,111.6
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.82,1.49,Normal,,2.5
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,5.81,4.55,Normal,,215.1
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.96,0.95,Normal,,1.7
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.50,3.54,Alert,Rising,38.5
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,11.81,11.90,Minor Flood,Rising,424.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,8.10,8.18,Minor Flood,Rising,176.7
,Maguru Ganga,Magura,m,4.00,6.00,7.50,6.80,6.93,Minor Flood,Rising,156.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.26,7.96,Minor Flood,Rising,147.6
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.04,4.08,Minor Flood,Rising,64.4
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,6.56,6.86,Minor Flood,Rising,218.5
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.65,1.66,Alert,Rising,50.2
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.97,7.10,Minor Flood,Rising,101.9
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,6.68,7.15,Major Flood,Rising,172.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,3.95,3.40,Alert,Falling,182.4
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.28,0.20,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.67,-2.79,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.87,2.71,Normal,,1.9
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.64,1.64,Normal,,0.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.32,0.33,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.78,2.77,Normal,,25.1
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.48,1.50,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.01,3.04,Normal,,54.4
