Automatic Weather Station,Districts,Rainfall (mm)
Maliboda,Kegalle,104
Kalupahana,Kegalla,95.5
Maskeliya,Nuwaraeliya,85.5
Polpithigama,Kurunegala,85.0
Dammulla,Rathnapura,82.5
