ස්වයංක්‍රිය වර්ෂොමොන මධ්‍ය ස්ථොනය,දිස්ික් ය,වර්ෂොපතනය ( මි.මී )
මාලිවබාඩ,කෑගල්ල,104
කළුපහන,කෑගල්ල,95.5
මස්වකළිය,නුවරඑළිය,85.5
වපාල්පිතිගම,කුරුණෑගල,85.0
දම්ුල්ල,රත්නපුර,82.5
