No.,Districts,Families,Persons,Deaths,Missing,Fully House,Partially,Safety centers,Families,Persons
,,,,,,damage,House,,,
,,,,,,,Damage,,,
1,Puttalam,"90,443","328,050",29,3,89,"1,522",141,"5,784","21,347"
2,Badulla,"12,274","45,187",83,28,269,"3,896",178,"6,246","21,002"
3,Monaragala,"1,342","4,441",4,1,30,497,-,-,-
4,Matale,"3,834","10,927",28,2,112,892,49,"1,562","5,509"
5,Colombo,"76,839","294,674",5,2,8,"1,536",103,"3,982","13,312"
6,Batticaloa,"12,466","34,380",2,-,11,922,1,62,165
7,Kegalle,"15,686","57,793",30,41,141,"8,565",142,"3,713","12,358"
8,Trincomalee,"25,553","84,592",-,-,-,634,57,"6,991","21,614"
9,Anuradhapura,"17,010","56,474",7,-,98,"1,076",63,"1,581","4,098"
10,Mullaitivu,"12,691","39,193",2,4,4,789,40,"1,186","3,178"
11,Kilinochchi,"8,613","27,227",-,-,2,172,11,352,963
12,Ampara,"6,485","22,198",3,-,4,226,5,440,"1,549"
13,Jaffna,"16,943","53,941",3,-,2,361,8,158,468
14,Polonnaruwa,"10,171","35,018",2,-,107,"3,051",26,"3,476","11,642"
15,Kandy,"8,535","31,373",118,171,176,"2,539",160,"5,001","20,064"
16,Rathnapura,"17,537","68,670",1,-,4,"6,434",10,100,360
17,Kurunegala,"21,528","71,638",56,23,92,902,48,"1,508","5,379"
18,Nuwara Eliya,"6,959","24,681",89,73,15,453,123,234,"11,453"
19,Matara,355,"1,329",-,-,-,341,-,-,-
20,Hambantota,478,"1,770",-,-,4,232,-,-,-
21,Galle,550,"1,733",1,-,-,492,-,-,-
22,Kalutara,"2,013","7,093",-,-,1,953,-,-,-
23,Mannar,"40,605","136,483",2,-,10,68,62,"3,767","11,800"
24,Gampaha,"40,175","155,140",12,2,109,"3,868",114,"5,435","22,149"
25,Vavuniya,"6,320","20,785",2,-,1,"4,135",6,187,564
Total,,"455,405","1,614,790",479,350,"1,289","44,556","1,347","51,765","188,974"
,,,,,,,,,,
