දිනය : 2026-08-17,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,34,25,90,55,වැසි සව් ල්පයක්
මඩකලපුව,33,26,95,70,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
හකාළඹ,30,24,95,75,විටින් විට වැසි
ගාල්ල,29,25,95,80,විටින් විට වැසි
යාපනය,32,27,85,65,ප්‍රධාන වශහයන් වැසි රහිත
මහනුවර,29,22,95,75,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
නුවරඑළිය,18,14,95,80,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
රත්නපුරය,30,24,95,75,විටින් විට වැසි
ත්‍රිකුණාමලය,35,25,85,55,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,30,26,85,70,වැසි සව් ල්පයක්
