"ස්ත්‍බරෙමුව පලාත
rg;ufKt",12,"රත්නපුර
,uj;jpdGhp
Rathnapura",Balangoda,Wall Collapse,2025.01.16 /19,2,7,,,,,2,,,,,,
,,,Kalawana,Wall Collapse,2025.01.18,,,,,,,,1,,,,,
Sabaragamuwa,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2,7,0,0,0,0,2,1,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,2,7,0,0,0,0,2,1,0,0,0,0,
"දකුනු පලාත
njd; khfhzk;",13,"හම්බන්නතාට
`k;ghe;Njhl;il
Hambantota",Angunukolapelessa,High Wind,2025.01.15,1,4,,,,,1,,,,,,
Southern,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1,4,0,0,0,0,1,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,1,4,0,0,0,0,1,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,6797,20333,2,3,0,1,174,5,1,18,228,686,
ආපදා කළමනාකරණ මධයස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,,,,
,,,,,,,"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,
