பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 1 - 0 6,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,28,23,95,60,அடிக்கடி மலை வபய்யும்
மட்டக்களப்பு,29,25,95,70,அவ்வப்பபாது மலை வபய்யும்
வகாழும்பு,31,24,90,60,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை
வபய்யும் சாத்தியம்"
காலி,29,24,95,75,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை
வபய்யும்"
யாழ்ப்பாணம்,29,25,85,60,சிறிதளவில் மலை வபய்யும்
கண்டி,26,20,95,65,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை
வபய்யும்"
நுவவரலியா,18,12,95,65,அவ்வப்பபாது மலை வபய்யும்
இரத்தினபுரி,31,22,95,60,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை
வபய்யும்"
திருபகாணமலை,28,24,95,70,அவ்வப்பபாது மலை வபய்யும்
மன்னார்,29,25,90,65,சிறிதளவில் மலை வபய்யும்
