ප්‍රධාන්‍ න්‍ගර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 -01-06,,,,,
න්‍ගරය,උෂ්ණත්වය(කස. අෙංශක),,සාකේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,28,23,95,60,වැසි වාර කිහිපයක්
මඩකලපුව,29,25,95,70,විටින් විට වැසි
ගකාළඹ,31,24,90,60,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිෙ වැසි ඇති විය හැක
ොේල,29,24,95,75,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිෙ වැසි ඇති ගේ
යාපනය,29,25,85,60,වැසි සරවේපයක්
මහනුවර,26,20,95,65,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිෙ වැසි ඇති ගේ
නුවරඑළිය,18,12,95,65,විටින් විට වැසි
රත්නපුරය,31,22,95,60,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිෙ වැසි ඇති ගේ
ිකුණාමලය,28,24,95,70,විටින් විට වැසි
මන්නාරම,29,25,90,65,වැසි සරවේපයක්
