River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.20,1.20,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.54,0.57,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.87,8.82,Normal,,1.1,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.55,1.54,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.27,0.26,Normal,,4.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.19,0.25,Normal,,28.5,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.43,0.44,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.44,0.44,Normal,,0.3,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.04,4.06,Normal,,0.5,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,0.41,0.41,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.85,0.85,Normal,,0.0,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,1.70,1.70,Normal,,0.0,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.09,1.08,Normal,,0.0,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,0.68,0.66,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.39,0.38,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.44,2.44,Normal,,6.2,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.48,0.48,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.18,0.18,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.93,0.92,Normal,,10.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.10,0.10,Normal,,9.1,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.50,0.50,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.17,1.17,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.23,-0.23,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.79,0.79,Normal,,0.7,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.42,0.42,Normal,,2.4,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.65,0.64,Normal,,3.3,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.73,-0.64,Normal,,1.1,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.41,0.45,Normal,,1.1,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.60,-2.63,Normal,,4.1,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.20,1.37,Normal,,0.3,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.65,0.65,Normal,,3.4,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.42,0.42,Normal,,2.3,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.37,0.37,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.78,1.78,Normal,,0.9,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.51,0.51,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.29,1.29,Normal,,26.3,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.26,0.26,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.45,0.44,Normal,,21.8,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.87,1.86,Normal,,7.2,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.94,0.93,Normal,,2.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.31,0.30,Normal,,10.0,
