,"අනු
අ.",දිස්ික්කය,දිනය,ආපදාව,,ප්‍රා.වේ.වකා,,,,ස්ි/ පුරුෂ,,වයස,,
,,,,,,,,,,භාවය,,,,
01,,බදුල්ල,2025.11.27,අධික වර්ෂාව සහ නායයෑම්,,ලුණුගල,,,7,,,,,
,,,,,,පස්සර,,,2,,,,,
,,,,,,බදුල්ල,,,5,,,,,
,,,,,,කන්දකැටිය,,,3,,,,,
,,,,,,පසාරණාපතාට,,,1,,,,,
,,,,,,ඇල්ල,,,1,,,,,
,,,,,,-,,,11,,,,,
දිස්ික් එකතුව,,,,,,,,,30,,,,,
02,,පමාණරාගල,2025.11.27,අධික වර්ෂාව සහ නායයෑම්,,-,,,2,,,,,
,දිස්ික් එකතුව,,,,,,,,,2,,,,
03,,කුරුණෑගල,2025.11.26,"ගසක් කඩා වැටීම
(යතුරුපැදියක් මතට)",,ඉබ්බාගමුව,,,පුරුෂ - 1,,,අවු. 34,,
,,,2025.11.27,ජල ගැලීම්,,-,,,2,,,,,
දිස්ික් එකතුව,,,,,,,,,03,,,,,
04,,නුවරඑළිය,2025.11.27,නායයෑම්,,වලපපන්,,,04,,,,,
,,,2025.11.27,,,,,,02,,,,,
දිස්ික් එකතුව,,,,,,,,,06,,,,,
05,,ගාල්ල,2026.11.26,"ජල පහරට හසුවීම
(ගං ගඟ)",,බද්පද්ගම,,,ගැහැණු - 1,,,,,
,දිස්ික් එකතුව,,,,,,,,,01,,,,
06,,අම්පාර,2025.11.27,ජල පහරට හසුවීම,,සයින්දමරුදු,,,"පිරිමි - 01
ගැහැණු - 02",,,"අවු. 62
අවු. 59 හා අවු 06",,
,,,,දිපේ ගලිම්,,සමන්තුපර්,,,1,,,,,
,,,,ගස් කඩා වැටීම්,,තිරුක්පකෝවිල්,,,1,,,,,
,දිස්ික් එකතුව,,,,,,,,,05,,,,
07,,අනුරාධපුර,2025.11.27,ගස් කඩා වැටීම්,,ම.නු.ප,,,01,,,,,
,දිස්ික් එකතුව,,,,,,,,01,,,,,
08,,මහනුවර,2025.11.27,ජල ගැලීම්/ නායයෑම්,,-,,,04,,,,,
,දිස්ික් එකතුව,,,,,,,,04,,,,,
09,,මාතපල්,2025.11.28,ජල ගැලීම්/ නායයෑම්,,-,,,08,,,,,
දිස්ික් එකතුව,,,,,,,,,08,,,,,
10,,හම්බන්පතාට,2025.11.27,ජල ගැලීම්,,-,,,01,,,,,
දිස්ික් එකතුව,,,,,,,,,01,,,,,
11,,කෑගල්ල,2025.11.27,ජල ගැලීම්/ නායයෑම්,,-,,,08,,,,,
දිස්ික් එකතුව,,,,,,,,,08,,,,,
මුළු මරණ එකතුව,,,,,,,,,69,,,,,
