"අනු
අං.",දිස්ික්කය,,සුරක්ිත,,පවුේ සංඛ්‍යාව,,"පුද්ගලයි
න්
සංඛ්‍යාව"
,,,මධ්‍යස්ථාන,,,,
,,,සංඛ්‍යාව,,,,
01,පුත්තතලම දිස්ික් එකතුව (11),11,,,205,925,
02,බදුේල දිස්ික් එකතුව (44),44,,,1271,4270,
03,වමාණරාගල දිස්ික් එකතුව (08),08,,,207,738,
04,මාතවේ දිස්ික් එකතුව (06),06,,,143,490,
05,වකාළඹ දිස්ික් එකතුව (05),05,,,43,133,
06,මඩකලපුව දිස්ික් එකතුව (12),12,,,425,1215,
07,කෑගේල දිස්ික් එකතුව (10),10,,,271,1267,
08,ිකුණාමලය දිස්ික් එකතුව (04),04,,,204,589,
09,අනුරාධ්‍පුර දිස්ික් එකතුව (26),26,,,668,1750,
10,කිලිවනාච්චි දිස්ික් එකතුව (01),01,,,27,134,
11,අම්පාර දිස්ික් එකතුව (11),11,,,642,1490,
12,යාපනය දිස්ික් එකතුව (01),01,,,02,09,
13,නුවර දිස්ික් එකතුව (07),07,,,115,267,
14,රත්තනපුර දිස්ික් එකතුව (06),06,,,49,154,
15,කුරුණෑගල දිස්ික් එකතුව (30),30,,,566,815,
16,නුවරඑළිය දිස්ික් එකතුව (49),49,,,380,1603,
17,හම්බන්වතාට දිස්ික් එකතුව (07),07,,,-,-,
18,කළුතර දිස්ික් එකතුව (03),03,,,49,386,
19,මන්නාරම දිස්ික් එකතුව,-,,,48,126,
20,ගම්පහ දිස්ික් එකතුව (07),07,,,208,803,
21,වවුනියා දිස්ික් එකතුව (18),18,,,367,1279,
,මුළු එකතුව,266,,,5890,18443,
