"අනු
අංකය",දිස්ික්කය,ජලා ය,විවෘත කර ඇති වාන් වදාරටු ප්‍රමාණය
01,අනුරාධපුරය,රාජාංගනය,වාන්පදාරටු 28 අි 10 බැගන් විවෘතකර ඇත.
02,,අංගමුව,වාන්පදාරටු 02 අි 06 බැගන් විවෘතකර ඇත.
03,,කලාවැව,වාන්පදාරටු 02 අි 17 බැගන් විවෘතකර ඇත.
04,කුරුණෑගල,දැදුරු ඔය,වාන්පදාරටු 08 අි 19 බැගන් ද විවෘතකර ඇත.
05,මහනුවර,පපාල්පගාල්ල,වාන්පදාරටු 03 අි 02 අඟල් 06 බැගන් විවෘතකර ඇත.
06,පමාණරාගල,පවපහරගල,"වාන්පදාරටු 02 අි 01 බැගන්ද
වාන්පදාරටු 04 අඟල් 06 බැගන් ද විවෘතකර ඇත."
07,මාතපල්,පබෝවතැන්න,වාන්පදාරටු 06 අි 03 බැගන් විවෘතකර ඇත.
08,මහනුවර,රන්ටැපේ,වාන්පදාරටු 02 මීටර් 2 ½ බැගන් විවෘතකර ඇත.
09,බදුල්ල,උල්ිටිය - රත්කිඳ,වාන්පදාරටු 07 අි 01 බැගන් විවෘතකර ඇත.
10,කළුතර,කුකුපල්ගඟ,වාන්පදාරටු 02 තත්.ඝන මීටර් 64 බැගන් විවෘතකර ඇත.
11,හම්බන්පතාට,ලුණුගම්පවපහර,වාන්පදාරටු 06 අි 01 අඟල් 04 බැගන් විවෘතකර ඇත.
