,සමස්ථ ආපදා විස්තරය Island-wide Total Incidents Summary,,,සංඛ්‍යාව,
• බලපෑමට ලක් වූ දිස්ත්‍රික් සංඛ්‍යාව,,,25,,
• බලපෑමට ලක් වූ ප්‍රාපද්ශිය පල්කම් පකාට්ඨාශ සංඛ්‍යාව,,,285,,
• බලපෑමට ලක් වූ මුළු පවුල් සංඛ්‍යාව,,,61175,,
• බලපෑමට ලක් වූ මුළු පුද්ගල සංඛ්‍යාව,,,219282,,
• මියයෑම,,,69,,
• අතුරුදහන්,,,34,,
• සුරක්ිත මධයස්ථාන සංඛ්‍යාව,,,266,,
• සුරක්ිත මධයස්ථානයන්ි සිටින මුළු පවුල් සංඛ්‍යාව,,,5890,,
• සුරක්ිත මධයස්ථානයන්ි සිටින මුළු පුද්ගල සංඛ්‍යාව,,,18443,,
