,ස්ථානය,,,දිස්ික්කය,,,වර්ෂාපතනය (මි.මි),
නිල්ලපේ,,,මහනුවර,,,431.2,,
පඩාපතපලෝයා වතුයාය,,,කෑගල්ල,,,277.8,,
පපාක්කනායි,,,කිලිපනාච්චි,,,274.0,,
මැණික්දිපවල,,,මහනුවර,,,266.2,,
වල්පපාලකන්ද,,,කුරුණෑගල,,,247.8,,
අරනායක,,,කෑගල්ල,,,240.6,,
අලවල,,,ගම්පහ,,,237,,
අලව්ව,,,කෑගල්ල,,,236,,
පකාටවැල්ල,,,කෑගල්ල,,,228.8,,
මහරච්චිමුල්ල,,,කුරුණෑගල,,,225,,
වරකාපපාළ,,,කෑගල්ල,,,215.8,,
ලිිණිපවපහර,,,කුරුණෑගල,,,213.8,,
ගලපිටමඩ,,,කෑගල්ල,,,210.8,,
පමාපරාන්පතාට,,,කෑගල්ල,,,205.4,,
දැදිගම,,,කෑගල්ල,,,203,,
වටවල,,,නුවරඑළිය,,,202.8,,
පබෝයගම,,,කෑගල්ල,,,192.8,,
පකාටපහර,,,පකාළඹ,,,191.4,,
පපාර්ට්කනි,,,මන්නාරම,,,188.0,,
මරිච්චිකුඩ්ි,,,මන්නාරම,,,187.5,,
දඹපදණිය,,,කුරුණෑගල,,,184.6,,
කිතුල්ගල,,,කෑගල්ල,,,184.4,,
වුඩා,,,කුරුණෑගල,,,183.4,,
