දිනය : 2026-06-19,,,,,
නගරය,උෂ්ණත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,32,26,90,65,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,33,27,80,50,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යකාළඹ,30,26,90,75,වැසි වාර කිහිපයක්
ගාල්ල,30,26,95,75,වැසි වාර කිහිපයක්
යාපනය,33,28,85,70,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,30,21,90,65,වැසි වාර කිහිපයක්
නුවරඑළිය,21,14,95,70,වැසි වාර කිහිපයක්
රත්නපුරය,29,25,95,80,වැසි වාර කිහිපයක්
ත්‍රිකුණාමලය,35,27,80,50,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,31,28,85,75,ප්‍රධාන වශයයන් වැසි රහිත
