River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
08:00 pm","Water
Level at
09:00 pm",Remarks,"Water Level
Rising or
Falling","12 Hr RF
in mm at
09:00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.19,2.21,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.55,8.57,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.34,4.25,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.69,5.64,Alert,Falling,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.19,6.27,Alert,Rising,0.5,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.48,4.30,Alert,Falling,,2.4
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.77,3.78,Alert,Rising,0.6,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.52,1.52,Alert,,21.5,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.73,5.70,Alert,Falling,,3.3
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.95,1.91,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.78,0.71,Normal,,0.0,
