River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12.00
noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.90,3.00,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.69,5.57,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.25,12.13,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.98,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.10,1.10,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.13,1.17,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.00,1.00,Normal,,1.3,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.76,2.76,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.87,8.87,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.60,4.50,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.79,3.58,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.79,6.80,Minor Flood,Rising,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.39,3.39,Normal,,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.54,2.47,Normal,,0.9,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.90,1.91,Minor Flood,Rising,5.5,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.63,6.59,Minor Flood,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.50,2.33,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.36,1.31,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.68,3.64,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.29,2.24,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.97,4.95,Minor Flood,Falling,0.0,
