River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 PM","Water
Level at
3:00 PM",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at
3:00 PM",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.00,2.00,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.63,4.57,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.70,12.66,Normal,,2.,,9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.68,2.57,Normal,,5.5,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.25,1.27,Normal,,,2.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.70,1.67,Normal,,0.9,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.48,1.45,Normal,,3.,,3,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.64,2.64,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.42,9.41,Normal,,0.8,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.53,5.45,Alert,Falling,4.2,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.66,2.64,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.79,5.77,Alert,Falling,0.0,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.37,2.30,Normal,,0.3,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.60,2.59,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.96,1.96,Minor Flood,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.31,5.27,Alert,Falling,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.41,1.40,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.73,0.71,Normal,,0.0,,,
