,,,Rambukkana,Lightning,2022.11.07,11,50,,2,,,1,,,,,,
,,,,Cutting Faliure,2022.11.04,3,19,,,,,3,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,65,265,0,2,0,0,42,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,84,323,0,4,0,0,58,0,0,0,0,0,
"ඌව
Cth khfhzk
; Uva",3,"බදුල්ල
gJs;is
Badulla",Welimada,Heavy Rain,2022.11.01,1,6,,,,,1,,,,,,
,,,,Heavy Rain,2022.11.11,1,4,,,,,1,,,,,,
,,,Bandarawela,Tree Fallen,2022.11.09,1,1,,,,,1,,,,,,
,,,,Heavy Rain,2022.10.31,2,6,1,,,,2,,,,,,
,,,,Heavy Rain,2022.11.02,1,4,,,,,1,,,,,,
,,,,Heavy Rain,2022.11.05-07,9,36,,,,,9,,,,,,
,,,,Heavy Rain,2022.11.09,2,5,,,,,2,,,,,,
,,,Ella,Heavy Rain,2022.11.05,1,4,,,,,1,,,,,,
,,,,Cutting Faliure,2022.11.05,1,5,,,,,1,,,,,,
,,,,Cutting Faliure,2022.11.02,1,3,,,,,1,,,,,,
,,,,Cutting Faliure,2022.11.01,3,15,,,,,3,,,,,,
,,,,Heavy Rain,2022.11.13,2,5,,,,,2,,1,,,,
,,,Uva Paranagama,Heavy Rain,2022.11.06,1,4,,,,,1,,,,,,
,,,,Heavy Rain,2022.11.09,1,6,,,,,1,,,,,,
,,,,Landslide,2022.11.13,,,,,,,,,1,,,,
,,,Hali Ela,High Wind & Rain,2022.11.02,1,4,1,,,,,,,,,,
,,,,Heavy Rain,2022.11.01,1,2,,,,,1,,,,,,
,,,,Heavy Rain,2022.11.13,1,1,,,,,1,,,,,,
,,,Meegahakiula,High Wind & Rain,2022.11.08,1,1,,,,,1,,,,,,
,,,,High Wind,2022.11.01,1,3,,,,,1,,,,,,
,,,,Heavy Rain & wind,2022.11.14,2,7,,,,,2,,,,,,
,,,Passara,Heavy Rain,2022.11.06,1,5,,,,,1,,,,,,
,,,,Heavy Rain,2022.11.06,1,6,,,,,1,,,,,,
,,,,Landslide Risk,2022.11.10,7,30,,,,,,,,,,,
,,,,Lightning,2022.11.01,2,13,,,,,2,,,,,,
,,,,Landslide Risk,2022.11.01,11,37,,,,,,,,,,,
,,,,Landslide Risk,2022.11.01,67,270,,,,,,,,,,,
,,,Haldummulla,Lightning,2022.11.02,1,4,,,,,1,,,,,,
,,,Badulla,Heavy Rain,2022.11.09,1,1,,,,,1,,,,,,
,,,,Cutting Faliure,2022.11.04,1,2,,,,,,,,,,,
,,,,Heavy Rain,2022.11.12,1,4,,,,,1,,,,,,
,,,,Cutting Faliure,2022.11.13,,,,,,,,,1,,,,
,,,,Lightning,2022.11.13,1,4,,1,,,1,,,,,,
,,,,Cutting Faliure,2022.11.13,,,,,,,,,1,,,,
,,,Kandaketiya,Lightning,2022.11.03,1,3,,,,,1,,,,,,
,,,Lunugala,Heavy Rain,2022.11.03,1,3,1,,,,,,,,,,
,,,,High Wind,2022.11.03,1,6,,,,,1,,,,,,
,,,,Land Slide,2022.11.13,,,,,,,,,1,,,,
,,,Soranathota,Heavy Rain,2022.11.04,3,13,,,,,3,,,,,,
,,,,High Wind,2022.11.03,1,7,,,,,1,,,,,,
,,,Haputhale,Fire,2022.11.08,1,5,,,,,1,,,,,,
,,,,Cutting Faliure,2022.11.05,2,8,,,,,2,,,,,,
,,,,Cutting Faliure,2022.11.02,1,3,,,,,1,,,,,,
,,,,Cutting Faliure,2022.11.05,1,6,,,,,1,,,,,,
,,,,Cutting Faliure,2022.11.13,,,,,,,,1,,,,,
,,,Ridimaliyadda,Tree Fallen,2022.11.09,1,2,,,,,1,,,,,,
,,,,Lightning,2022.11.07,2,9,,,,,2,,,,,,
,,,,Lightning,2022.11.04,2,8,,,,,2,,,,,,
,,,Mahiyanganaya,High Wind & Rain,2022.11.07,1,2,,,,,1,,,,,,
