"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය /jpfjp / Date : 01st Oct 2021 at 0600hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS Division",,,"පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpas
T
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்க
ளின்
சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"ස්ත්‍බරගමුව පලාත
rg;ufKt
Sabaragamuw
a",,,Elapatha,High wind,2021.09.27,9,34,,,,,9,,,,,,
,,,Godakawela,High wind,2021.09.27,3,12,,,,,3,,,,,,
,,,Pelmadulla,High wind,2021.09.26,5,27,,,,,5,,,,,,
,,රත්නපුර,Ehalyagoda,High wind,2021.09.27,3,9,,,,,3,,,,,,
,1,",uj;jpdGhp",Kalawna,High wind,2021.09.27,1,3,,,,,1,,,,,,
,,Rathnapura,Kiriella,High wind,2021.09.27,1,1,,,,,1,,,,,,
,,,Kolonna,High wind,2021.09.27,1,2,,,,,1,,,,,,
,,,Kahawatta,High wind,2021.09.27,2,5,,,,,2,,,,,,
,,,Imbulpe,High wind,2021.09.26,1,3,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,26,96,0,0,0,0,26,0,0,0,0,0,
,2,,Dehiowita,Cutting Failure,2021.09.25,1,4,,,,,1,,,,,,
,,,Deraniyagala,Cutting Failure,2021.09.26,2,9,,,,,2,,,,,,
,,,,Cutting Failure/ High wind,2021.09.28,2,9,,,,,2,,,,,,
,,,Aranayaka,High wind,2021.09.26,2,15,,,,,2,,,,,,
,,,Kegalla,High wind,2021.09.25,1,4,,,,1,,,,,,,
,,කෑගල්ල,,High wind,2021.09.28,3,13,,,,3,,,,,,,
,,Nffhiy Kegalle,Warakapola,Cutting Failure,2021.09.26,6,27,,,,,1,,,,,,
,,,,High wind,2021.09.27,3,13,,,,,3,,,,,,
,,,Bulathkohupitiya,High wind,2021.09.28,2,8,,,,,2,,,,,,
,,,Yatiyantota,Cutting Failure,2021.09.26,2,8,,,,,2,,,,,,
,,,Galigamuwa,High wind,2021.09.28,7,23,,,,,7,,,,,,
,,,Mawanella,Cutting Failure,2021.09.26,2,7,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,33,140,0,0,0,4,24,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,59,236,0,0,0,4,50,0,0,0,0,0,
"උතුරුමැද පලාත
tlkj;jpa
khfhzk
North Central",3,,Kahatagasdigiliya,"Heavy Rain / Hgh
Wind",2021.09.21,6,28,,,,,6,,,,,,
,,,Galenbidunuwewa,,2021.09.25,5,17,,,,,4,,,,,,
,,,Palugaswewa,,2021.09.25,9,37,,,,,8,1,,,,,
,,,Horowupathana,,2021.09.02,1,4,,,,,1,,,,,,
,,අනුරාධපුර m.Guk,,,2021.09.27,1,4,,,,,1,,,,,,
,,Anuradhapura,Medawachchiya,,2021.09.02,1,3,,,,,1,,,,,,
,,,Nachchaduwa,,2021.08.29,2,7,,,,,2,,,,,,
,,,Padawiya,Hgh Wind,2021.09.27,1,1,,,,,1,,,,,,
,,,Ipalogama,Hgh Wind,2021.09.27,2,9,,,,,2,,,,,,
,,,Nuwaragampalatha E,Hgh Wind,2021.09.27,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,29,114,0,0,0,0,27,1,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,29,114,0,0,0,0,27,1,0,0,0,0,
,4,,Katana,Hgh Wind,2021.09.27,8,33,,,,,8,,,,,,
,,,Attanagalla,,,10,42,,,,,10,,,,,,
,,ගම්පහ fk;g`h,Ja-Ela,,,2,7,,,,,2,1,,,,,
,,Gampaha,Minuwangoda,"Heavy Rain / Hgh
Wind",2021.09.28,12,46,,3,,,12,1,,,,,
,,,Negambo,,,40,159,,,,,40,,,,,,
,,,Gampaha,,,18,64,,,,,18,1,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,90,351,0,3,0,0,90,3,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,90,351,0,3,0,0,90,3,0,0,0,0,
