River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
05:00 pm","Water
Level at
06:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.10,3.10,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.32,5.39,Normal,,58.1,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.00,13.10,Normal,,,36.4
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.88,2.15,Normal,,,35.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.22,1.23,Normal,,,8.7
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.21,2.08,Normal,,52.2,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.78,0.78,Normal,,1.1,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.11,3.11,Alert,,,25.1
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.72,8.77,Normal,,,31.2
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.63,4.67,Normal,,,8.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.49,4.53,Alert,Rising,,20.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.95,6.97,Minor Flood,Rising,,13.1
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.83,3.00,Normal,,,30.8
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.39,4.39,Minor Flood,,,16.3
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.67,2.67,Minor Flood,,,21.2
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.45,6.66,Minor Flood,Rising,,28.4
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.10,2.98,Normal,,,35.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.38,1.58,Normal,,54.7,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.10,3.12,Normal,,,12.1
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.88,1.94,Normal,,,15.2
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.92,4.02,Alert,Rising,60.6,
