River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.70,1.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.12,2.11,Normal,,0.4,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.98,10.02,Normal,,10.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.95,1.90,Normal,,9.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.74,0.74,Normal,,3.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.69,0.93,Normal,,34.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.83,0.83,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.17,2.17,Normal,,2.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.09,6.03,Normal,,9.1,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.23,2.37,Normal,,,17.7,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.19,4.09,Alert,Falling,2.3,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.62,7.61,Minor Flood,Falling,8.2,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.05,4.03,Minor Flood,Falling,53.3,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.40,2.43,Normal,,0.8,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.24,2.24,Minor Flood,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.88,5.86,Alert,Falling,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.56,1.55,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.01,1.00,Normal,,0.0,,
,Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.23,1.23,Normal,,5.4,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.09,1.09,Normal,,0.7,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.70,1.70,Normal,,2.4,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.01,0.06,Normal,,8.3,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.50,1.50,Normal,,9.2,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.94,0.94,Normal,,0.7,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,2.10,2.78,Normal,,,20.2,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,3.35,3.42,Normal,,38.8,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.82,1.93,Normal,,,24.2,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.67,2.67,Normal,,7.2,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.42,1.42,Normal,,1.2,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.82,1.82,Normal,,3.4,,
