River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.90,3.00,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.70,5.83,Normal,,4,,.8,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.60,14.67,Normal,,5.7,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.37,2.43,Normal,,8.8,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.47,2.25,Normal,,,2.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.53,2.32,Normal,,4,,.1,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.24,1.22,Normal,,,3.2,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.83,2.87,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.75,9.78,Normal,,,3.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.86,6.78,Alert,Falling,4,,.3,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.96,5.90,Alert,Falling,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.36,7.45,Minor Flood,Rising,0.6,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.68,2.68,Normal,,6.3,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.98,3.99,Alert,Rising,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.31,1.32,Normal,,,2.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.22,5.16,Alert,Falling,,1.6,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.31,1.25,Normal,,,1.5,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.46,0.44,Normal,,,1.6,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.42,3.48,Alert,Rising,0.0,,,
