River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.50,1.30,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.63,2.55,Normal,,4.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.55,10.46,Normal,,5.6,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.68,1.67,Normal,,29.,,7
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.59,0.54,Normal,,25.,,5
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.17,1.18,Normal,,45.4,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.57,0.57,Normal,,3.4,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.47,1.44,Normal,,2.9,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.28,6.22,Normal,,4.2,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.13,2.07,Normal,,1.4,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.22,2.22,Normal,,2.8,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.56,4.44,Normal,,4.5,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.86,1.86,Normal,,7.2,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.23,2.22,Normal,,3.9,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.86,0.86,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.95,3.92,Normal,,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.83,0.83,Normal,,1.9,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.19,0.19,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.79,0.80,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.40,0.40,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.74,0.74,Normal,,3.5,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.22,1.22,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.20,-0.21,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.79,0.79,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.44,0.44,Normal,,25.,,1
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.24,0.22,Normal,,0.0,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.13,-1.13,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.01,0.01,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.85,-2.85,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.45,1.40,Normal,,0.7,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.24,1.23,Normal,,,12.5,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.38,0.37,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.47,1.47,Normal,,0.0,,
"Maa Oya
(RB 69)",Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.46,0.46,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.10,1.10,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.09,0.08,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.27,0.26,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.25,2.24,Normal,,,12.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.08,1.08,Normal,,45.6,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.11,1.10,Normal,,,14.4,
