දිනය : 2026-06-13,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,25,90,70,වැසි සව් ල්පයක්
මඩකලපුව,35,24,90,65,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,31,24,90,75,වැසි වාර කිහිපයක්
ගාල්ල,30,24,90,85,විටින් විට වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ
යාපනය,32,28,90,75,වැසි සව් ල්පයක්
ම නුවර,29,22,95,70,වැසි වාර කිහිපයක්
නුවරඑළිය,19,14,95,85,වැසි වාර කිහිපයක්
රත්නපුරය,31,23,95,80,විටින් විට වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ
ත්‍රිකුණාමලය,36,26,85,55,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,31,27,90,75,වැසි සව් ල්පයක්
