දිනය : 2026-07-28,,,,,
නගරය,උෂණ් ත්වය(හෙ. අංශක),,ොහේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,26,90,50,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,34,26,85,55,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,31,27,85,70,වැසි වාර කිහිපයක්
ගාල්ල,30,27,90,80,වැසි වාර කිහිපයක්
යාපනය,33,28,80,60,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,28,23,95,60,විටින් විට වැසි
නුවරඑළිය,19,14,95,65,විටින් විට වැසි
රත්නපුරය,31,24,95,65,විටින් විට වැසි
ත්‍රිකුණාමලය,37,26,80,50,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,31,28,90,80,ප්‍රධාන වශයයන් වැසි රහිත
