දින්‍ය : 2026-03-23,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,34,23,90,50,ප්‍රධාන වශහයන් වැසි රහිත
මඩකලපුව,31,26,90,70,ප්‍රධාන වශහයන් වැසි රහිත
හකාළඹ,33,25,90,60,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,32,26,90,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,33,23,90,65,ප්‍රධාන වශහයන් වැසි රහිත
මහනුවර,33,21,95,60,ප්‍රධාන වශහයන් වැසි රහිත
නුවරඑළිය,22,10,95,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,36,24,95,55,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,31,25,90,70,ප්‍රධාන වශහයන් වැසි රහිත
මන්නාරම,33,23,95,60,ප්‍රධාන වශහයන් වැසි රහිත
