பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 3 - 2 3,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,34,23,90,50,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,31,26,90,70,பிரதானமாக சீரான வானிலை
வகாழும்பு,33,25,90,60,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
காலி,32,26,90,65,பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
யாழ்ப்பாணம்,33,23,90,65,பிரதானமாக சீரான வானிலை
கண்டி,33,21,95,60,பிரதானமாக சீரான வானிலை
நுவவரலியா,22,10,95,65,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
இரத்தினபுரி,36,24,95,55,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
திருககாணமலை,31,25,90,70,பிரதானமாக சீரான வானிலை
மன்னார்,33,23,95,60,பிரதானமாக சீரான வானிலை
