River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.50,1.35,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.91,3.80,Normal,,11.6,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.21,11.05,Normal,,15.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.82,1.76,Normal,,9.5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.82,0.80,Normal,,19.9,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.82,0.80,Normal,,63.8,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.84,0.84,Normal,,2.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.53,2.54,Normal,,14.7,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.76,7.76,Normal,,84.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.20,3.10,Normal,,24.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.26,3.20,Normal,,2.3,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.33,7.30,Minor Flood,Falling,20.3,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.75,3.73,Alert,Falling,53.3,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.10,2.13,Normal,,0.8,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.12,2.11,Minor Flood,Falling,4.2,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.58,5.56,Alert,Falling,3.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.45,1.46,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.98,0.99,Normal,,2.8,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.80,1.80,Normal,,5.2,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.23,1.23,Normal,,7.9,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.10,1.09,Normal,,5.2,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.73,1.73,Normal,,4.8,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.06,0.07,Normal,,13.1,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.71,1.66,Normal,,27.6,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.75,1.61,Normal,,40.5,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.40,1.76,Normal,,33.1,
,,Manampitiya ( Old),m,3.50,5.00,6.00,1.38,1.39,Normal,,40.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,2.52,2.53,Normal,,40.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.91,-0.91,Normal,,29.4,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.29,2.55,Normal,,2.6,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.20,1.19,Normal,,3.3,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.98,0.99,Normal,,25.5,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,4.02,4.02,Normal,,50.4,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,3.20,2.91,Normal,,83.9,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,3.75,3.79,Normal,,23.8,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,2.08,2.08,Normal,,46.5,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.22,2.23,Normal,,36.7,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.70,2.70,Normal,,15.4,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.46,1.46,Normal,,7.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.68,2.66,Normal,,15.8,
