District,Area,Remarks
Puttalam,Daduruoya downstream is inundated,6 gates of Deduruoya tank is opened
Polonnaruwa,"Somawathiya road is closed in Sungawila.
People evacuated in Weilikanda,Manampitiya,
Dimbulagala, Pimburaththewa",Due to overflow of Mahaweli river
Badulla,"Haldummulla Kirawanagama road is blocked.
Bibile Lunugala road in impassible until 6 am to-
morrow",Road is clearing at the moment
Kandy,Ududumbara Meemure road is inaccessible due,
Ampara,Bridge is damaged in Panama Uhantha road,Due to heavy rains
Anuradhapura,"People evacuated in Galnewa, Ipalogama, Thalawa,
Thambuththegama",Due to spilling of kalawewa
