River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.30,2.30,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.40,2.36,Normal,,,26.6,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.98,9.90,Normal,,2.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.84,1.90,Normal,,4.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.94,1.00,Normal,,6.4,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.81,0.91,Normal,,4.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.53,1.70,Alert,Rising,44,,.7
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.41,2.41,Normal,,13.1,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.65,6.60,Normal,,0.0,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.36,2.38,Normal,,8.9,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.70,3.65,Normal,,15.8,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,6.89,6.88,Minor Flood,Falling,,26.1,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.28,4.29,Minor Flood,Rising,0.0,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.35,2.34,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.64,1.65,Alert,Rising,50,,.2
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.46,5.42,Alert,Falling,5.5,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.51,1.49,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.08,1.07,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.30,1.30,Normal,,9.1,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.36,1.38,Normal,,,28.8,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,3.70,3.78,Normal,,82.5,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.70,3.35,Normal,,10.8,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.20,0.19,Normal,,11.8,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.87,0.87,Normal,,6.2,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.73,0.81,Normal,,,36.3,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.10,1.10,Normal,,15.7,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.81,1.70,Normal,,4.8,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.53,-2.57,Normal,,4.8,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.20,3.35,Normal,,,34.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.29,1.30,Normal,,15.8,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.58,0.62,Normal,,,23.7,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,3.36,3.24,Normal,,4.4,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.21,1.20,Normal,,3.3,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.78,1.78,Normal,,6.7,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,4.77,4.79,Normal,,7.6,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.87,5.93,Alert,Rising,7.1,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.98,3.90,Normal,,5.5,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.90,3.00,Normal,,88.2,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.56,4.60,Minor Flood,Rising,,35.0,
